trafficid,chargeid,describe35,describe70,describe100,date_begin,date_end,article,section,subsec,paragraph,code,fine,finetype,mod_date,new_date,last_revised,scrape_date
956,3171,"(DRIVE, ATT. TO DRIVE) VEH. REQ. CL","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC,","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC, APPROP. ENDORSED CLASS C LIC)",1995-10-01,1996-09-30,TA,16,815,c,,515,F,2000-09-26,2000-09-26,2020-05-07,2020-06-03
956,3170,"(DRIVE, ATT. TO DRIVE) VEH. REQ. CL","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC,","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC, APPROP. ENDORSED CLASS C LIC)",1996-10-01,2003-09-30,TA,16,815,c,,520,F,2003-10-03,2000-09-26,2020-05-07,2020-06-03
956,13139,"(DRIVE, ATT. TO DRIVE) VEH. REQ. CL","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC,","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC, APPROP. ENDORSED CLASS C LIC)",2003-10-01,2005-09-30,TA,16,815,c,,523,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
956,14612,"(DRIVE, ATT. TO DRIVE) VEH. REQ. CL","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC,","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC, APPROP. ENDORSED CLASS C LIC)",2005-10-01,2006-09-30,TA,16,815,c,,520,F,2006-09-26,2005-11-18,2020-05-07,2020-06-03
956,15436,"(DRIVE, ATT. TO DRIVE) VEH. REQ. CL","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC,","(DRIVE, ATT. TO DRIVE) VEH. REQ. CLASS C LIC ON HWY W/O (CLASS C LIC, APPROP. ENDORSED CLASS C LIC)",2006-10-01,NA,TA,16,815,c,,530,F,2006-09-26,2006-09-26,2020-05-07,2020-06-03
2121,11487,FAILURE TO OBTAIN STATE-ISSUED ENDO,FAILURE TO OBTAIN STATE-ISSUED ENDORSEMENT OF COMMERCIAL DR. LIC. TO O,FAILURE TO OBTAIN STATE-ISSUED ENDORSEMENT OF COMMERCIAL DR. LIC. TO OPERATE CERTAIN COMMERCIAL MV,2000-10-01,NA,TA,16,815,e,,0,A,2000-09-26,2000-09-26,2020-05-07,2020-06-03
957,20323,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",NA,2014-10-01,TA,16,816,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
957,3175,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",1991-07-01,1995-09-30,TA,16,816,,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
957,3174,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",1995-10-01,1996-09-30,TA,16,816,,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
957,3173,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",1996-10-01,2003-06-30,TA,16,816,,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
957,13140,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",2003-07-01,2005-09-30,TA,16,816,,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
957,14613,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",2005-10-01,2006-09-30,TA,16,816,,,280,F,2006-09-26,2005-11-18,2020-05-07,2020-06-03
957,15437,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",2006-10-01,2014-09-30,TA,16,816,,,290,H,2014-09-30,2006-09-26,2020-05-07,2020-06-03
2420,18753,DRIVING SCHOOL VEH. W/O APPROPRIATE,"DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)","DRIVING SCHOOL VEH. W/O APPROPRIATE (MED. CERTIFICATE, LIC ENDORSE)",2014-10-01,NA,TA,16,816,a,,290,H,2014-09-30,2014-09-30,2020-05-07,2020-06-03
2421,18754,DRIVER OF SCHOOL VEHICLE ALLOWING U,"DRIVER OF SCHOOL VEHICLE ALLOWING UNAUTHORIZED INDIVIDUAL TO (BOARD, R","DRIVER OF SCHOOL VEHICLE ALLOWING UNAUTHORIZED INDIVIDUAL TO (BOARD, RIDE) SCHOOL VEHICLE",2014-10-01,NA,TA,16,816,b,,290,H,2014-09-30,2014-09-30,2020-05-07,2020-06-03
958,3178,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,1991-07-01,1995-09-30,TA,17,104,,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
958,3177,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,1995-10-01,1996-09-30,TA,17,104,,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
958,3176,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,1996-10-01,2003-06-30,TA,17,104,,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
958,13141,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,2003-07-01,2005-09-30,TA,17,104,,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
958,14614,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,2005-10-01,2010-09-30,TA,17,104,,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
958,16840,OWNER FAILURE TO MAINTAIN REQUIRED,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIO,OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,2010-10-01,NA,TA,17,104,,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
2369,17768,"OPERATOR OF (MOPED, MOTOR SCOOTER)","OPERATOR OF (MOPED, MOTOR SCOOTER) FAILURE TO CARRY REQUIRED SECURITY","OPERATOR OF (MOPED, MOTOR SCOOTER) FAILURE TO CARRY REQUIRED SECURITY",2012-10-01,NA,TA,17,104.1,,,290,F,2012-09-25,2012-09-25,2020-05-07,2020-06-03
2498,19122,FAILURE OF MV OPER. DRIVING ON HWY,"FAILURE OF MV OPER. DRIVING ON HWY TO (BE IN POSS.OF, CARRY IN MV) EVI","FAILURE OF MV OPER. DRIVING ON HWY TO (BE IN POSS.OF, CARRY IN MV) EVID. OF REQ'D SECURITY FOR MV",2017-07-01,NA,TA,17,104.2,b1,,83,F,2017-06-30,2017-06-30,2020-05-07,2020-06-03
2499,19123,FAILURE OF MV OPER TO PRESENT EVIDE,FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST,FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,2017-07-01,NA,TA,17,104.2,b2,,83,F,2017-06-30,2017-06-30,2020-05-07,2020-06-03
959,20324,FAILURE NOTIFY AD. LAPSE OF INSURAN,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,NA,1986-07-01,TA,17,106,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
959,3180,FAILURE NOTIFY AD. LAPSE OF INSURAN,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,1981-07-01,1985-06-30,TA,17,106,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
959,3179,FAILURE NOTIFY AD. LAPSE OF INSURAN,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,FAILURE NOTIFY AD. LAPSE OF INSURANCE/SURRENDER EVIDENCE,1985-07-01,1986-06-30,TA,17,106,,,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
960,3183,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",1991-07-01,1995-09-30,TA,17,106,b,,260,F,2012-10-01,1998-11-10,2020-05-07,2020-06-03
960,3182,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",1995-10-01,1996-09-30,TA,17,106,b,,265,F,2012-10-01,1998-11-10,2020-05-07,2020-06-03
960,3181,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",1996-10-01,2003-06-30,TA,17,106,b,,270,F,2012-10-01,1998-11-10,2020-05-07,2020-06-03
960,13142,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",2003-07-01,2005-09-30,TA,17,106,b,,275,F,2012-10-01,2003-10-03,2020-05-07,2020-06-03
960,14615,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",2005-10-01,2010-09-30,TA,17,106,b,,280,F,2012-10-01,2005-11-18,2020-05-07,2020-06-03
960,16841,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",2010-10-01,2012-09-30,TA,17,106,b,,290,F,2012-10-01,2010-09-30,2020-05-07,2020-06-03
960,17805,"(INSURER, PROVIDER OF SECURITY) FAI","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY O","(INSURER, PROVIDER OF SECURITY) FAILURE TO NOTIFY ADM ELECTRONICALLY OF TERMINATION OF REQ. SECURITY",2012-10-01,NA,TA,17,106,b,,290,F,2012-10-01,2012-10-01,2020-05-07,2020-06-03
961,3186,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,1991-07-01,1995-09-30,TA,17,106,d,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
961,3185,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,1995-10-01,1996-09-30,TA,17,106,d,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
961,3184,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,1996-10-01,2003-06-30,TA,17,106,d,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
961,13143,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,2003-07-01,2005-09-30,TA,17,106,d,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
961,14616,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,2005-10-01,2010-09-30,TA,17,106,d,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
961,16842,OWNER FAILURE TO SURENDER REG. EVID,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE,OWNER FAILURE TO SURENDER REG. EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION,2010-10-01,NA,TA,17,106,d,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
962,20325,DRIVING UNINSURED VEHICLE,DRIVING UNINSURED VEHICLE,DRIVING UNINSURED VEHICLE,NA,2017-10-01,TA,17,107,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
962,3187,DRIVING UNINSURED VEHICLE,DRIVING UNINSURED VEHICLE,DRIVING UNINSURED VEHICLE,1981-07-01,2017-09-30,TA,17,107,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2504,19733,KNOWINGLY DRIVING UNINSURED VEHICLE,KNOWINGLY DRIVING UNINSURED VEHICLE,KNOWINGLY DRIVING UNINSURED VEHICLE,2017-10-01,NA,TA,17,107,a1,,0,A,2017-09-30,2017-09-30,2020-05-07,2020-06-03
2505,19734,OWNER KNOWINGLY PERMITTING ANOTHER,OWNER KNOWINGLY PERMITTING ANOTHER PERSON TO DRIVEUNINSURED VEHICLE,OWNER KNOWINGLY PERMITTING ANOTHER PERSON TO DRIVEUNINSURED VEHICLE,2017-10-01,NA,TA,17,107,a2,,0,A,2017-09-30,2017-09-30,2020-05-07,2020-06-03
963,3188,"WILLFULLY AND KNOWINGLY (CREATE, CE","WILLFULLY AND KNOWINGLY (CREATE, CERTIFY, FILE, PROVIDE) FALSE EVIDENC","WILLFULLY AND KNOWINGLY (CREATE, CERTIFY, FILE, PROVIDE) FALSE EVIDENCE OF REQUIRED SECURITY",1997-07-01,NA,TA,17,110,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2543,19857,ENTERING A PEER-TO-PEER CAR SHARING,ENTERING A PEER-TO-PEER CAR SHARING AGREEMENT W/ DRIVER WHO IS UNLIC.,ENTERING A PEER-TO-PEER CAR SHARING AGREEMENT W/ DRIVER WHO IS UNLIC. TO OPERATE SHARED M/V,2018-07-01,NA,TA,18,.5103,a,,290,F,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2544,19858,FAILURE TO KEEP REQUIRED PEER-TO-PE,FAILURE TO KEEP REQUIRED PEER-TO-PEER SHARING PROGRAM RECORDS,FAILURE TO KEEP REQUIRED PEER-TO-PEER SHARING PROGRAM RECORDS,2018-07-01,NA,TA,18,.5103,b,,290,F,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2545,19859,FRAUD ENTRY INTO PEER-TO-PEER CAR S,FRAUD ENTRY INTO PEER-TO-PEER CAR SHARING PROGRAM KNOWING ODOMETER DOE,FRAUD ENTRY INTO PEER-TO-PEER CAR SHARING PROGRAM KNOWING ODOMETER DOESN'T RECORD CORRECTLY,2018-07-01,NA,TA,18,.5104,a,,0,A,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2546,19860,DECEIVE SH. VEH. DR. OF DIST. THAT,DECEIVE SH. VEH. DR. OF DIST. THAT SH. MV TRAVELEDDURING CAR SH. WHEN,DECEIVE SH. VEH. DR. OF DIST. THAT SH. MV TRAVELEDDURING CAR SH. WHEN CHGED BY DIST. TRAVELED,2018-07-01,NA,TA,18,.5104,b,,0,A,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2547,19861,ALLOW IND WHO DR SH M/V TO OPER KNO,"ALLOW IND WHO DR SH M/V TO OPER KNOWING PERS UNDERINF OF ALC, IMPAIR B","ALLOW IND WHO DR SH M/V TO OPER KNOWING PERS UNDERINF OF ALC, IMPAIR BY ALC, DRUGS, CONT DANG SUB",2018-07-01,NA,TA,18,.5105,a,,530,F,2018-06-28,2018-06-28,2020-05-07,2020-06-03
964,20326,RENTING VEH. TO UNAUTHORIZED OPERAT,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,NA,1986-07-01,TA,18,103,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
964,3190,RENTING VEH. TO UNAUTHORIZED OPERAT,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,1981-07-01,1985-06-30,TA,18,103,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
964,3189,RENTING VEH. TO UNAUTHORIZED OPERAT,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,RENTING VEH. TO UNAUTHORIZED OPERATOR/W/O INSPECT. LIC./KEEP RECORDS,1985-07-01,1986-06-30,TA,18,103,,,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
965,3193,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",1991-07-01,1995-09-30,TA,18,103,a,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
965,3192,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",1995-10-01,1996-09-30,TA,18,103,a,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
965,3191,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",1996-10-01,2003-06-30,TA,18,103,a,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
965,13144,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",2003-07-01,2005-09-30,TA,18,103,a,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
965,14617,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",2005-10-01,2010-09-30,TA,18,103,a,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
965,16843,"RENTING (MOTOR VEH., TRAILER, SEMIT","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL","RENTING (MOTOR VEH., TRAILER, SEMITRAILER) TO AN UNLICENSED INDIVIDUAL WHO WILL OPERATE",2010-10-01,NA,TA,18,103,a,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
966,20327,FAILURE LESSOR/AGENT INSPECT LIC. P,FAILURE LESSOR/AGENT INSPECT LIC. PERSON RENTING MOTOR VEH./TRAILER/SE,FAILURE LESSOR/AGENT INSPECT LIC. PERSON RENTING MOTOR VEH./TRAILER/SEMITRAILER,NA,1986-07-01,TA,18,103,a,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
966,3194,FAILURE LESSOR/AGENT INSPECT LIC. P,FAILURE LESSOR/AGENT INSPECT LIC. PERSON RENTING MOTOR VEH./TRAILER/SE,FAILURE LESSOR/AGENT INSPECT LIC. PERSON RENTING MOTOR VEH./TRAILER/SEMITRAILER,1985-07-01,1986-06-30,TA,18,103,a,B,250,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
967,3197,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",1991-07-01,1995-09-30,TA,18,103,c,,260,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
967,3196,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",1995-10-01,1996-09-30,TA,18,103,c,,265,F,1999-06-11,1998-11-10,2020-05-07,2020-06-03
967,3195,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",1996-10-01,2003-06-30,TA,18,103,c,,270,F,2003-10-03,1998-11-10,2020-05-07,2020-06-03
967,13145,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",2003-07-01,2005-09-30,TA,18,103,c,,275,F,2005-11-18,2003-10-03,2020-05-07,2020-06-03
967,14618,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",2005-10-01,2010-09-30,TA,18,103,c,,280,F,2010-09-30,2005-11-18,2020-05-07,2020-06-03
967,16844,FAILURE TO KEEP REQUIRED (MOTOR VEH,"FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL REC","FAILURE TO KEEP REQUIRED (MOTOR VEH., TRAILER, SEMITRAILER) RENTAL RECORDS",2010-10-01,NA,TA,18,103,c,,290,F,2010-09-30,2010-09-30,2020-05-07,2020-06-03
968,20328,RENTING VEH. TO ANOTHER INTENT DEFR,RENTING VEH. TO ANOTHER INTENT DEFRAUD,RENTING VEH. TO ANOTHER INTENT DEFRAUD,NA,1986-07-01,TA,18,104,,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
968,3198,RENTING VEH. TO ANOTHER INTENT DEFR,RENTING VEH. TO ANOTHER INTENT DEFRAUD,RENTING VEH. TO ANOTHER INTENT DEFRAUD,1981-07-01,1986-06-30,TA,18,104,,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
969,20329,RENTAL TO ANOTHER VEH. WITH INCORRE,RENTAL TO ANOTHER VEH. WITH INCORRECT ODOMETER WITH INTENT DEFRAUD,RENTAL TO ANOTHER VEH. WITH INCORRECT ODOMETER WITH INTENT DEFRAUD,NA,1986-07-01,TA,18,104,,A,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
969,3199,RENTAL TO ANOTHER VEH. WITH INCORRE,RENTAL TO ANOTHER VEH. WITH INCORRECT ODOMETER WITH INTENT DEFRAUD,RENTAL TO ANOTHER VEH. WITH INCORRECT ODOMETER WITH INTENT DEFRAUD,1985-07-01,1986-06-30,TA,18,104,,A,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
970,20330,DECEIVE. PERSON RENTING VEH. DISTAN,DECEIVE. PERSON RENTING VEH. DISTANCE TRAVELED IF CHARGE BASED ON DIST,DECEIVE. PERSON RENTING VEH. DISTANCE TRAVELED IF CHARGE BASED ON DISTANCE,NA,1986-07-01,TA,18,104,,B,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
970,3200,DECEIVE. PERSON RENTING VEH. DISTAN,DECEIVE. PERSON RENTING VEH. DISTANCE TRAVELED IF CHARGE BASED ON DIST,DECEIVE. PERSON RENTING VEH. DISTANCE TRAVELED IF CHARGE BASED ON DISTANCE,1985-07-01,1986-06-30,TA,18,104,,B,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
971,3201,FRAUDULENT RENTING MOTOR VEH. KNOWI,FRAUDULENT RENTING MOTOR VEH. KNOWING THAT ODOMETER DOES NOT RECORD CO,FRAUDULENT RENTING MOTOR VEH. KNOWING THAT ODOMETER DOES NOT RECORD CORRECTLY,1986-07-01,NA,TA,18,104,a,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
